Session_id,City,Device
aaa.ccqrt 9998.66,LA,iphone
aaa.ccqrt 9999.07,LA,iphone
aaa.ccqrt 10000.93,LA,iphone
aaa.ccqrt 9999.61,Kentucky,iphone
aaa.ccqrt 10001.02,LA,iphone
aaa.ccqrt 10000.45,Kentucky,iphone
aaa.ccqrt 10000.83,LA,iphone
aaa.ccqrt 9999.96,LA,iphone
aaa.ccqrt 9999.67,LA,iphone
aaa.ccqrt 9998.04,Kentucky,iphone
aaa.ccqrt 10000.33,LA,iphone
aaa.ccqrt 10001.18,Alabama,android
aaa.ccqrt 9997.98,Alabama,android
aaa.ccqrt 9998.95,Kentucky,iphone
aaa.ccqrt 10002.18,LA,iphone
aaa.ccqrt 9998.4,LA,iphone
aaa.ccqrt 9999.94,Alabama,android
aaa.ccqrt 9999.79,Alabama,android
aaa.ccqrt 9999,Kentucky,iphone
aaa.ccqrt 9999.69,Kentucky,android
aaa.ccqrt 10001.34,Alabama,android
aaa.ccqrt 9999.2,LA,iphone
aaa.ccqrt 10000.16,Alabama,android
aaa.ccqrt 9998.12,LA,iphone
aaa.ccqrt 9999.58,Alabama,android
aaa.ccqrt 10000.12,Alabama,android
aaa.ccqrt 9998.82,LA,iphone
aaa.ccqrt 10000.23,Kentucky,iphone
aaa.ccqrt 9999.79,Alabama,android
aaa.ccqrt 9999.18,Kentucky,android
aaa.ccqrt 10000.15,Kentucky,android
aaa.ccqrt 10000.67,Alabama,android
aaa.ccqrt 9999.26,LA,iphone
aaa.ccqrt 10000.56,Kentucky,iphone
aaa.ccqrt 10001.36,Alabama,android
aaa.ccqrt 10000.05,LA,iphone
aaa.ccqrt 9999.09,Kentucky,iphone
aaa.ccqrt 10000.72,LA,iphone
aaa.ccqrt 9997.43,LA,iphone
aaa.ccqrt 9999.1,LA,iphone
aaa.ccqrt 10000.63,LA,iphone
aaa.ccqrt 10000.39,LA,iphone
aaa.ccqrt 10000.06,Alabama,android
aaa.ccqrt 10001.91,LA,iphone
aaa.ccqrt 9999.9,Alabama,android
aaa.ccqrt 9999.32,Alabama,android
aaa.ccqrt 10002.55,Alabama,android
aaa.ccqrt 10000.17,Alabama,android
aaa.ccqrt 9999.31,Alabama,android
aaa.ccqrt 10001.08,LA,iphone
aaa.ccqrt 10000.33,Alabama,android
aaa.ccqrt 10000.01,Alabama,android
aaa.ccqrt 10001.86,LA,iphone
aaa.ccqrt 10001.29,LA,iphone
aaa.ccqrt 10000.75,LA,iphone
aaa.ccqrt 9999.72,LA,iphone
aaa.ccqrt 10001.73,Alabama,android
aaa.ccqrt 9999.43,LA,iphone
aaa.ccqrt 10001.33,Kentucky,android
aaa.ccqrt 9998.1,Kentucky,android
aaa.ccqrt 10000.34,LA,iphone
aaa.ccqrt 9999.77,LA,iphone
aaa.ccqrt 9999.99,LA,iphone
aaa.ccqrt 10000.19,Alabama,android
aaa.ccqrt 9999.39,Alabama,android
aaa.ccqrt 10001.26,Alabama,android
aaa.ccqrt 9999.21,Alabama,android
aaa.ccqrt 10000.61,Kentucky,iphone
aaa.ccqrt 9998.95,Alabama,android
aaa.ccqrt 10000.49,Alabama,android
aaa.ccqrt 10001.09,LA,iphone
aaa.ccqrt 10000.07,Kentucky,iphone
aaa.ccqrt 10000.15,Kentucky,android
aaa.ccqrt 10000.06,LA,iphone
aaa.ccqrt 9999.71,LA,iphone
aaa.ccqrt 10000.53,LA,iphone
aaa.ccqrt 10000.64,Kentucky,android
aaa.ccqrt 10000.11,Alabama,android
aaa.ccqrt 9998.29,Alabama,android
aaa.ccqrt 10000.86,Alabama,android
aaa.ccqrt 10001.07,LA,iphone
aaa.ccqrt 10001.14,LA,iphone
aaa.ccqrt 9999.17,Kentucky,android
aaa.ccqrt 10000.33,LA,iphone
aaa.ccqrt 9999.57,Kentucky,android
aaa.ccqrt 10000.51,LA,iphone
aaa.ccqrt 9999.42,LA,iphone
aaa.ccqrt 10000.36,LA,iphone
aaa.ccqrt 10000.51,LA,iphone
aaa.ccqrt 10000.07,Alabama,android
aaa.ccqrt 10000.84,Kentucky,android
aaa.ccqrt 9999.31,LA,iphone
aaa.ccqrt 9999.78,Kentucky,iphone
aaa.ccqrt 10002.21,Alabama,android
aaa.ccqrt 10000.14,Kentucky,iphone
aaa.ccqrt 10000.3,Alabama,android
aaa.ccqrt 10001.09,LA,iphone
aaa.ccqrt 9999.9,Kentucky,iphone
aaa.ccqrt 10000.99,Alabama,android
aaa.ccqrt 9999.52,Kentucky,android
aaa.ccqrt 9999.95,Alabama,android
aaa.ccqrt 9999.77,LA,iphone
aaa.ccqrt 9999.31,Kentucky,iphone
aaa.ccqrt 9999.97,LA,iphone
aaa.ccqrt 9999.09,LA,iphone
aaa.ccqrt 10000.56,LA,iphone
aaa.ccqrt 10000.97,Alabama,android
aaa.ccqrt 10000.52,LA,iphone
aaa.ccqrt 9997.94,LA,iphone
aaa.ccqrt 9999.9,Alabama,android
aaa.ccqrt 10000.72,LA,iphone
aaa.ccqrt 10001.1,Alabama,android
aaa.ccqrt 9999.93,LA,iphone
aaa.ccqrt 9998.76,Kentucky,android
aaa.ccqrt 10000,Kentucky,android
aaa.ccqrt 10000.55,LA,iphone
aaa.ccqrt 10000.88,LA,iphone
aaa.ccqrt 9998.85,Kentucky,iphone
aaa.ccqrt 9998.94,Alabama,android
aaa.ccqrt 9999.6,LA,iphone
aaa.ccqrt 10001.12,Kentucky,android
aaa.ccqrt 10000.08,Alabama,android
aaa.ccqrt 10000.15,LA,iphone
aaa.ccqrt 10000.68,Kentucky,iphone
aaa.ccqrt 10001.32,Kentucky,android
aaa.ccqrt 9998.45,LA,iphone
aaa.ccqrt 9999.49,Alabama,android
aaa.ccqrt 9998.86,Alabama,android
aaa.ccqrt 9999.44,LA,iphone
aaa.ccqrt 9999.33,Alabama,android
aaa.ccqrt 9999.66,LA,iphone
aaa.ccqrt 9999.82,Alabama,android
aaa.ccqrt 10000.15,LA,iphone
aaa.ccqrt 10000.05,Alabama,android
aaa.ccqrt 9999.72,LA,iphone
aaa.ccqrt 10000.82,LA,iphone
aaa.ccqrt 9999.61,Alabama,android
aaa.ccqrt 10000.35,Kentucky,android
aaa.ccqrt 9999.47,Kentucky,android
aaa.ccqrt 9998.61,Alabama,android
aaa.ccqrt 10001.05,LA,iphone
aaa.ccqrt 10000,LA,iphone
aaa.ccqrt 10000.82,Alabama,android
aaa.ccqrt 9999.23,Alabama,android
aaa.ccqrt 10000.58,LA,iphone
aaa.ccqrt 10000.79,Alabama,android
aaa.ccqrt 9999.43,LA,iphone
aaa.ccqrt 10000.67,Alabama,android
aaa.ccqrt 10000.38,LA,iphone
aaa.ccqrt 10001.77,Alabama,android
aaa.ccqrt 9999.75,LA,iphone
aaa.ccqrt 9999.62,LA,iphone
aaa.ccqrt 10001.3,LA,iphone
aaa.ccqrt 10000.98,Alabama,android
aaa.ccqrt 9999.3,LA,iphone
aaa.ccqrt 10000.24,Alabama,android
aaa.ccqrt 10000.81,LA,iphone
aaa.ccqrt 10000.55,Alabama,android
aaa.ccqrt 9999.68,LA,iphone
aaa.ccqrt 9998.57,Kentucky,android
aaa.ccqrt 9999.44,Alabama,android
aaa.ccqrt 10000.21,Alabama,android
aaa.ccqrt 10000.45,Alabama,android
aaa.ccqrt 9999.74,LA,iphone
aaa.ccqrt 9999.57,Alabama,android
aaa.ccqrt 9999.81,LA,iphone
aaa.ccqrt 10000.89,Alabama,android
aaa.ccqrt 10000.85,LA,iphone
aaa.ccqrt 10000.61,Kentucky,iphone
aaa.ccqrt 10000.21,Alabama,android
aaa.ccqrt 10001.33,LA,iphone
aaa.ccqrt 9999.05,Alabama,android
aaa.ccqrt 9998.76,Kentucky,iphone
aaa.ccqrt 10001.16,LA,iphone
aaa.ccqrt 9998.59,Alabama,android
aaa.ccqrt 9998.98,LA,iphone
aaa.ccqrt 9999.19,Kentucky,iphone
aaa.ccqrt 9999.49,Alabama,android
aaa.ccqrt 9999.94,Kentucky,android
aaa.ccqrt 10000.44,Alabama,android
aaa.ccqrt 10002.01,Kentucky,android
aaa.ccqrt 9999.98,LA,iphone
aaa.ccqrt 10000.22,Kentucky,iphone
aaa.ccqrt 10000.04,Alabama,android
aaa.ccqrt 9999.98,Alabama,android
aaa.ccqrt 9999.63,LA,iphone
aaa.ccqrt 9999.28,LA,iphone
aaa.ccqrt 9998.43,Alabama,android
aaa.ccqrt 9999.4,LA,iphone
aaa.ccqrt 10002.15,Alabama,android
aaa.ccqrt 10000.02,LA,iphone
aaa.ccqrt 9999.98,LA,iphone
aaa.ccqrt 10000.73,LA,iphone
aaa.ccqrt 10000.47,LA,iphone
aaa.ccqrt 9998.59,LA,iphone
aaa.ccqrt 10000.03,LA,iphone
aaa.ccqrt 9999.3,Alabama,android
aaa.ccqrt 9997.91,Alabama,android
aaa.ccqrt 10000.47,Alabama,android
aaa.ccqrt 10000.13,LA,iphone
aaa.ccqrt 9997.9,LA,iphone
aaa.ccqrt 9999.71,LA,iphone
aaa.ccqrt 9999.02,LA,iphone
aaa.ccqrt 9997.69,LA,iphone
aaa.ccqrt 9999.82,Kentucky,iphone
aaa.ccqrt 10001.31,LA,iphone
aaa.ccqrt 10000.36,Kentucky,iphone
aaa.ccqrt 10000.06,Kentucky,iphone
aaa.ccqrt 9999.29,Alabama,android
aaa.ccqrt 9999.77,Kentucky,android
aaa.ccqrt 9999.77,Alabama,android
aaa.ccqrt 10001.55,Kentucky,iphone
aaa.ccqrt 9999.93,Kentucky,android
aaa.ccqrt 9999.5,Alabama,android
aaa.ccqrt 9999.11,Alabama,android
aaa.ccqrt 10001.89,Kentucky,iphone
aaa.ccqrt 10000.71,LA,iphone
aaa.ccqrt 9999.14,Alabama,android
aaa.ccqrt 10001.3,LA,iphone
aaa.ccqrt 10001.46,LA,iphone
aaa.ccqrt 10002.03,LA,iphone
aaa.ccqrt 10000.25,Kentucky,android
aaa.ccqrt 10000.78,Alabama,android
aaa.ccqrt 9999.99,Kentucky,android
aaa.ccqrt 9997.64,Kentucky,android
aaa.ccqrt 9998.14,LA,iphone
aaa.ccqrt 9999.56,Alabama,android
aaa.ccqrt 9998.71,Alabama,android
aaa.ccqrt 9998.43,LA,iphone
aaa.ccqrt 9998.35,LA,iphone
aaa.ccqrt 9999.59,Alabama,android
aaa.ccqrt 9999.27,Alabama,android
aaa.ccqrt 10001.34,Alabama,android
aaa.ccqrt 9998.15,LA,iphone
aaa.ccqrt 10000.53,Alabama,android
aaa.ccqrt 9998.03,Alabama,android
aaa.ccqrt 10000.27,LA,iphone
aaa.ccqrt 9999.92,Alabama,android
aaa.ccqrt 10002.03,Alabama,android
aaa.ccqrt 9999.99,Alabama,android
aaa.ccqrt 9999.19,Alabama,android
aaa.ccqrt 10001.32,LA,iphone
aaa.ccqrt 9999.9,Alabama,android
aaa.ccqrt 9999.58,Alabama,android
aaa.ccqrt 10000.42,LA,iphone
aaa.ccqrt 9999,LA,iphone
aaa.ccqrt 9998.45,LA,iphone
aaa.ccqrt 9999.91,Kentucky,iphone
aaa.ccqrt 10001.74,LA,iphone
aaa.ccqrt 10000.26,LA,iphone
aaa.ccqrt 10001.42,Kentucky,iphone
aaa.ccqrt 10000.66,Kentucky,iphone
aaa.ccqrt 10001.85,Kentucky,iphone
aaa.ccqrt 10000.25,LA,iphone
aaa.ccqrt 9999.61,LA,iphone
aaa.ccqrt 10002.12,LA,iphone
aaa.ccqrt 10000.87,Kentucky,android
aaa.ccqrt 10000.39,Alabama,android
aaa.ccqrt 10000.34,Alabama,android
aaa.ccqrt 10000.67,Alabama,android
aaa.ccqrt 10000.48,LA,iphone
aaa.ccqrt 10000.25,LA,iphone
aaa.ccqrt 10001.52,Alabama,android
aaa.ccqrt 10000.02,LA,iphone
aaa.ccqrt 9998.51,Kentucky,iphone
aaa.ccqrt 10001.54,LA,iphone
aaa.ccqrt 10000.35,LA,iphone
aaa.ccqrt 10000.3,Kentucky,iphone
aaa.ccqrt 9999.54,Alabama,android
aaa.ccqrt 10000.48,LA,iphone
aaa.ccqrt 10000.01,Alabama,android
aaa.ccqrt 9999.54,Kentucky,android
aaa.ccqrt 9999.31,Kentucky,iphone
aaa.ccqrt 10000.87,LA,iphone
aaa.ccqrt 10000.02,LA,iphone
aaa.ccqrt 10001.38,Kentucky,iphone
aaa.ccqrt 10000.97,LA,iphone
aaa.ccqrt 10001.11,Alabama,android
aaa.ccqrt 9999.7,Kentucky,android
aaa.ccqrt 9998.91,Alabama,android
aaa.ccqrt 10001.79,Kentucky,iphone
aaa.ccqrt 9999.34,Alabama,android
aaa.ccqrt 9999.45,Alabama,android
aaa.ccqrt 10000.74,Alabama,android
aaa.ccqrt 9999.59,Kentucky,android
aaa.ccqrt 10000.6,LA,iphone
aaa.ccqrt 10000.14,Alabama,android
aaa.ccqrt 10000.31,Alabama,android
aaa.ccqrt 10000,Alabama,android
aaa.ccqrt 9998.59,LA,iphone
aaa.ccqrt 10000.24,LA,iphone
aaa.ccqrt 10000.05,LA,iphone
aaa.ccqrt 10000.08,Alabama,android
aaa.ccqrt 9999.97,LA,iphone
aaa.ccqrt 9999.86,Alabama,android
aaa.ccqrt 10000.67,Kentucky,iphone
aaa.ccqrt 9999.18,LA,iphone
aaa.ccqrt 9999.81,Kentucky,android
aaa.ccqrt 9999.95,Alabama,android
aaa.ccqrt 10001.44,LA,iphone
aaa.ccqrt 10001.34,Alabama,android
aaa.ccqrt 10000.11,Kentucky,iphone
aaa.ccqrt 10000.19,LA,iphone
aaa.ccqrt 9999.22,Alabama,android
aaa.ccqrt 9999.8,LA,iphone
aaa.ccqrt 10000.04,Alabama,android
aaa.ccqrt 9998.72,LA,iphone
aaa.ccqrt 10001.47,Alabama,android
aaa.ccqrt 10000.64,LA,iphone
aaa.ccqrt 9999.02,Kentucky,android
aaa.ccqrt 10000.21,Alabama,android
aaa.ccqrt 9999.73,Kentucky,iphone
aaa.ccqrt 10000.35,LA,iphone
aaa.ccqrt 9999.4,Alabama,android
aaa.ccqrt 9999.58,LA,iphone
aaa.ccqrt 9999.75,Alabama,android
aaa.ccqrt 9999.34,Kentucky,android
aaa.ccqrt 10000.26,LA,iphone
aaa.ccqrt 9999.13,LA,iphone
aaa.ccqrt 10000.66,LA,iphone
aaa.ccqrt 9999.88,LA,iphone
aaa.ccqrt 9999.78,LA,iphone
